temp,visc,con,time
160.2,32.56,5,1
22.45,78.08,5,24
22.64,77.66,5,24
22.98,82.67,5,24
23.44,77.47,5,24
23.9,79.22,5,24
24.44,76.66,5,24
24.96,78.19,5,24
25.54,76.6,5,24
26.08,76.06,5,24
26.67,76.38,5,24
27.22,74.99,5,24
27.81,74.81,5,24
28.36,74.55,5,24
28.94,76.89,5,24
29.49,76.46,5,24
30.07,78.09,5,24
30.61,73.12,5,24
31.18,77.5,5,24
31.71,76.35,5,24
32.27,73.86,5,24
32.8,73.58,5,24
33.35,73.44,5,24
33.86,76.4,5,24
34.41,71.38,5,24
34.92,74.44,5,24
35.46,72.12,5,24
35.96,71.2,5,24
36.5,70.71,5,24
37,70.19,5,24
37.53,70.1,5,24
38.03,71.41,5,24
38.56,71.83,5,24
39.05,70.1,5,24
39.58,69.22,5,24
40.07,69.04,5,24
40.6,69.08,5,24
41.08,72.93,5,24
41.61,69.08,5,24
42.1,68.87,5,24
42.61,68.7,5,24
43.1,69.39,5,24
43.62,68.41,5,24
44.11,72.3,5,24
44.62,67.9,5,24
45.11,68.82,5,24
45.63,67.77,5,24
46.11,68.02,5,24
46.63,67.87,5,24
47.12,67.37,5,24
47.63,67.32,5,24
48.12,66.91,5,24
48.64,66.79,5,24
49.12,67.33,5,24
49.64,67.22,5,24
50.12,66.34,5,24
50.64,67.17,5,24
51.16,66.3,5,24
51.66,66.07,5,24
52.17,66.02,5,24
52.66,68.11,5,24
53.17,65.63,5,24
53.67,65.98,5,24
54.17,65.49,5,24
54.66,67.71,5,24
55.17,64.94,5,24
55.67,66,5,24
56.17,64.74,5,24
56.67,64.57,5,24
57.17,64.32,5,24
57.66,64.2,5,24
58.17,63.95,5,24
58.67,65.27,5,24
59.17,63.73,5,24
59.66,63.62,5,24
60.17,64.07,5,24
60.67,63.17,5,24
61.17,63.45,5,24
61.67,62.78,5,24
62.17,63.39,5,24
62.67,62.64,5,24
63.17,62.74,5,24
63.67,62.25,5,24
64.17,62.11,5,24
64.67,62.03,5,24
65.17,61.77,5,24
65.66,61.22,5,24
66.17,61.29,5,24
66.67,61,5,24
67.17,60.63,5,24
67.66,60.51,5,24
68.17,61.01,5,24
68.66,60.19,5,24
69.17,60.53,5,24
69.66,59.95,5,24
70.17,60.83,5,24
70.66,59.92,5,24
71.17,59.61,5,24
71.66,59.36,5,24
72.17,59.76,5,24
72.66,58.99,5,24
73.17,58.68,5,24
73.66,59.28,5,24
